"GeneID";"Biotype";"Length";"Chromosome";"Location";"Exons";"Organism"
"Gene_001103";"lncRNA";17767;3;"561032-570785";12;"Sus scrofa"
"Gene_001104";"rRNA";3226;2;"39159-77576";11;"Mus musculus"
"Gene_001105";"snRNA";16492;1;"22379-71716";14;"Mus musculus"
"Gene_001106";"protein_coding";18645;2;"576469-617765";8;"Bos taurus"
"Gene_001107";"rRNA";11858;4;"600144-630999";10;"Sus scrofa"
"Gene_001108";"snRNA";42566;5;"876182-892927";18;"Mus musculus"
"Gene_001109";"rRNA";37699;5;"66036-114211";14;"Homo sapiens"
"Gene_001110";"tRNA";20048;1;"603459-626969";19;"Sus scrofa"
"Gene_001111";"tRNA";19740;5;"36197-75086";16;"Mus musculus"
"Gene_001112";"lncRNA";23771;5;"613668-616462";7;"Bos taurus"
"Gene_001113";"lncRNA";3861;5;"232290-251705";1;"Mus musculus"
"Gene_001114";"rRNA";37262;5;"792384-820135";3;"Bos taurus"
"Gene_001115";"snRNA";17178;2;"900682-905937";8;"Sus scrofa"
"Gene_001116";"rRNA";40467;5;"612472-624873";10;"Mus musculus"
"Gene_001117";"snRNA";25001;3;"781841-784952";11;"Bos taurus"
"Gene_001118";"snRNA";42944;5;"107094-130553";9;"Bos taurus"
"Gene_001119";"rRNA";22180;4;"976119-992627";13;"Mus musculus"
"Gene_001120";"rRNA";45966;2;"989907-1011727";10;"Sus scrofa"
"Gene_001121";"protein_coding";37887;4;"326887-349360";18;"Homo sapiens"
"Gene_001122";"tRNA";29729;4;"169868-172368";1;"Homo sapiens"
"Gene_001123";"protein_coding";12170;4;"208643-239581";5;"Sus scrofa"
"Gene_001124";"tRNA";42838;1;"96538-145224";10;"Bos taurus"
"Gene_001125";"protein_coding";12967;2;"658087-670997";9;"Sus scrofa"
"Gene_001126";"protein_coding";42142;2;"617981-653971";6;"Homo sapiens"
"Gene_001127";"tRNA";17506;4;"519804-543451";11;"Bos taurus"
"Gene_001128";"tRNA";31850;2;"134985-143760";4;"Sus scrofa"
"Gene_001129";"snRNA";3975;3;"983063-1027449";12;"Sus scrofa"
"Gene_001130";"lncRNA";33750;3;"481823-491069";4;"Mus musculus"
"Gene_001131";"lncRNA";46436;2;"24050-42003";18;"Homo sapiens"
"Gene_001132";"lncRNA";32319;1;"512020-529126";11;"Homo sapiens"
"Gene_001133";"snRNA";20009;2;"165251-178354";9;"Mus musculus"
"Gene_001134";"tRNA";21487;1;"634085-676107";15;"Sus scrofa"
"Gene_001135";"lncRNA";48296;5;"739542-774022";4;"Homo sapiens"
"Gene_001136";"protein_coding";34622;5;"685602-703748";19;"Homo sapiens"
"Gene_001137";"snRNA";44896;5;"994622-1009500";8;"Sus scrofa"
"Gene_001138";"tRNA";37811;2;"316314-316876";8;"Bos taurus"
"Gene_001139";"protein_coding";15979;3;"459443-482847";11;"Homo sapiens"
"Gene_001140";"lncRNA";21832;1;"14017-17164";9;"Homo sapiens"
"Gene_001141";"snRNA";23513;4;"526273-572744";2;"Mus musculus"
"Gene_001142";"lncRNA";6071;2;"608361-631895";17;"Homo sapiens"
"Gene_001143";"lncRNA";23803;2;"75872-106472";2;"Homo sapiens"
"Gene_001144";"snRNA";41086;5;"430084-442890";20;"Mus musculus"
"Gene_001145";"snRNA";43436;3;"104464-141798";5;"Mus musculus"
"Gene_001146";"snRNA";25870;1;"639013-649070";3;"Homo sapiens"
"Gene_001147";"snRNA";27381;4;"940294-985989";4;"Bos taurus"
"Gene_001148";"snRNA";5468;5;"761963-770816";20;"Homo sapiens"
"Gene_001149";"lncRNA";25299;1;"99417-112480";14;"Sus scrofa"
"Gene_001150";"snRNA";14839;2;"14098-62492";9;"Homo sapiens"
"Gene_001151";"lncRNA";41409;3;"550249-579555";17;"Sus scrofa"
"Gene_001152";"protein_coding";11272;3;"73633-74494";13;"Homo sapiens"
"Gene_001153";"snRNA";30446;5;"840010-856415";8;"Mus musculus"
"Gene_001154";"snRNA";26444;4;"52685-53684";20;"Mus musculus"
"Gene_001155";"tRNA";44875;3;"278712-285748";20;"Sus scrofa"
"Gene_001156";"rRNA";32250;4;"180552-222721";13;"Sus scrofa"
"Gene_001157";"protein_coding";32909;1;"424580-458009";9;"Sus scrofa"
"Gene_001158";"protein_coding";30636;1;"59477-101842";7;"Mus musculus"
"Gene_001159";"tRNA";2976;1;"876375-893768";3;"Sus scrofa"
"Gene_001160";"tRNA";36493;3;"862119-903514";3;"Mus musculus"
"Gene_001161";"snRNA";6828;3;"577701-624713";3;"Mus musculus"
"Gene_001162";"rRNA";29201;1;"491445-521266";18;"Sus scrofa"
"Gene_001163";"snRNA";47492;1;"899879-917018";16;"Sus scrofa"
"Gene_001164";"rRNA";48598;4;"747291-755236";5;"Bos taurus"
"Gene_001165";"tRNA";35889;2;"172214-207008";5;"Bos taurus"
"Gene_001166";"rRNA";3905;3;"671493-683230";18;"Mus musculus"
"Gene_001167";"tRNA";18541;5;"295824-329896";7;"Bos taurus"
"Gene_001168";"protein_coding";15484;2;"967056-992760";9;"Bos taurus"
"Gene_001169";"rRNA";10333;1;"429141-458399";17;"Homo sapiens"
"Gene_001170";"tRNA";2157;5;"618542-619751";3;"Homo sapiens"
"Gene_001171";"protein_coding";49967;5;"260137-261513";11;"Homo sapiens"
"Gene_001172";"snRNA";31239;3;"374595-397605";5;"Homo sapiens"
"Gene_001173";"lncRNA";22231;4;"540913-582557";16;"Sus scrofa"
"Gene_001174";"protein_coding";388;5;"54786-70418";16;"Bos taurus"
"Gene_001175";"protein_coding";32051;2;"169092-179923";12;"Sus scrofa"
"Gene_001176";"protein_coding";41777;2;"717136-727165";17;"Sus scrofa"
"Gene_001177";"lncRNA";46987;5;"578837-614919";13;"Bos taurus"
"Gene_001178";"tRNA";11513;5;"103627-126104";13;"Sus scrofa"
"Gene_001179";"protein_coding";47775;3;"798166-810058";19;"Homo sapiens"
"Gene_001180";"snRNA";18888;1;"10743-23283";4;"Mus musculus"
"Gene_001181";"tRNA";48820;5;"869849-895409";17;"Bos taurus"
"Gene_001182";"snRNA";31790;2;"486418-503116";12;"Bos taurus"
"Gene_001183";"lncRNA";29695;2;"229947-265117";16;"Homo sapiens"
"Gene_001184";"lncRNA";19515;3;"172741-216842";11;"Bos taurus"
"Gene_001185";"tRNA";2997;3;"65424-83485";12;"Mus musculus"
"Gene_001186";"protein_coding";2182;2;"655716-680648";18;"Bos taurus"
"Gene_001187";"protein_coding";37165;3;"377140-419892";6;"Homo sapiens"
"Gene_001188";"protein_coding";16444;1;"428865-430249";4;"Sus scrofa"
"Gene_001189";"snRNA";6582;1;"833160-856484";13;"Sus scrofa"
"Gene_001190";"tRNA";8231;3;"835314-860478";20;"Homo sapiens"
"Gene_001191";"tRNA";21632;3;"719128-741252";5;"Mus musculus"
"Gene_001192";"lncRNA";25567;4;"71028-82575";5;"Sus scrofa"
"Gene_001193";"protein_coding";30288;4;"793029-803787";7;"Bos taurus"
"Gene_001194";"lncRNA";39811;3;"808817-840707";10;"Mus musculus"
"Gene_001195";"lncRNA";6336;1;"986428-1002042";10;"Homo sapiens"
"Gene_001196";"snRNA";22578;4;"25306-61363";7;"Sus scrofa"
"Gene_001197";"lncRNA";18683;4;"310730-317689";10;"Mus musculus"
"Gene_001198";"protein_coding";15055;4;"419767-456471";20;"Sus scrofa"
"Gene_001199";"lncRNA";4226;3;"477420-491490";10;"Mus musculus"
"Gene_001200";"protein_coding";31795;4;"989875-1012862";14;"Mus musculus"
"Gene_001201";"protein_coding";45666;3;"198359-233971";2;"Sus scrofa"
"Gene_001202";"tRNA";47152;5;"296582-314913";13;"Mus musculus"
"Gene_001203";"lncRNA";34283;4;"32500-38809";11;"Bos taurus"
"Gene_001204";"tRNA";20272;2;"478643-526886";9;"Homo sapiens"
"Gene_001205";"lncRNA";26388;2;"641635-657057";13;"Mus musculus"
"Gene_001206";"protein_coding";23617;5;"160159-206088";5;"Sus scrofa"
"Gene_001207";"snRNA";45054;4;"329625-356033";4;"Bos taurus"
"Gene_001208";"lncRNA";44370;1;"520256-559543";14;"Bos taurus"
"Gene_001209";"rRNA";14599;5;"890682-901137";15;"Bos taurus"
"Gene_001210";"rRNA";1454;2;"423035-444558";3;"Sus scrofa"
"Gene_001211";"snRNA";17753;1;"98739-127527";9;"Bos taurus"
"Gene_001212";"protein_coding";34433;2;"653307-657642";15;"Homo sapiens"
"Gene_001213";"lncRNA";31441;4;"624644-634254";6;"Mus musculus"
"Gene_001214";"snRNA";14386;1;"83303-126054";2;"Mus musculus"
"Gene_001215";"rRNA";40119;4;"126675-137551";18;"Bos taurus"
"Gene_001216";"protein_coding";30421;3;"534208-535293";5;"Sus scrofa"
"Gene_001217";"protein_coding";22299;2;"538589-585179";7;"Sus scrofa"
"Gene_001218";"tRNA";14082;3;"664209-672944";16;"Mus musculus"
"Gene_001219";"protein_coding";48591;5;"553495-586730";14;"Homo sapiens"
"Gene_001220";"rRNA";18586;1;"209222-233598";9;"Homo sapiens"
"Gene_001221";"snRNA";18833;2;"32468-76694";5;"Homo sapiens"
"Gene_001222";"rRNA";5097;2;"11412-59995";17;"Sus scrofa"
"Gene_001223";"lncRNA";35043;1;"280383-320305";18;"Mus musculus"
"Gene_001224";"snRNA";46015;4;"724292-765228";10;"Bos taurus"
"Gene_001225";"snRNA";46254;5;"963841-996957";20;"Sus scrofa"
"Gene_001226";"protein_coding";37159;2;"634756-679423";15;"Mus musculus"
"Gene_001227";"rRNA";18782;3;"147760-152757";6;"Bos taurus"
"Gene_001228";"lncRNA";28186;1;"991790-1024537";18;"Mus musculus"
"Gene_001229";"tRNA";22873;5;"207756-244664";5;"Homo sapiens"
"Gene_001230";"tRNA";39946;4;"935120-960718";8;"Sus scrofa"
"Gene_001231";"protein_coding";48392;5;"428728-453105";19;"Bos taurus"
"Gene_001232";"lncRNA";3392;4;"430338-430393";1;"Sus scrofa"
"Gene_001233";"tRNA";15036;5;"109515-152134";17;"Homo sapiens"
"Gene_001234";"tRNA";49177;2;"696332-737356";13;"Homo sapiens"
"Gene_001235";"protein_coding";15348;4;"496647-533146";13;"Bos taurus"
"Gene_001236";"snRNA";39868;4;"284074-297191";20;"Bos taurus"
"Gene_001237";"lncRNA";4880;5;"407406-419699";12;"Homo sapiens"
"Gene_001238";"protein_coding";12296;2;"730440-756609";7;"Mus musculus"
"Gene_001239";"protein_coding";47760;5;"318715-365563";7;"Homo sapiens"
"Gene_001240";"rRNA";17261;5;"618733-636164";17;"Bos taurus"
"Gene_001241";"tRNA";32863;2;"129635-147562";15;"Bos taurus"
"Gene_001242";"tRNA";40386;2;"780834-788508";14;"Sus scrofa"
"Gene_001243";"tRNA";47646;2;"379258-400973";4;"Sus scrofa"
"Gene_001244";"protein_coding";6248;4;"21853-39026";16;"Mus musculus"
"Gene_001245";"snRNA";35965;3;"190348-202477";4;"Bos taurus"
"Gene_001246";"lncRNA";41485;1;"601808-602576";10;"Mus musculus"
"Gene_001247";"lncRNA";37938;5;"131154-150185";13;"Mus musculus"
"Gene_001248";"tRNA";26918;2;"464127-495771";11;"Sus scrofa"
"Gene_001249";"snRNA";46071;2;"995906-1020065";6;"Homo sapiens"
"Gene_001250";"snRNA";34712;3;"759749-783935";6;"Sus scrofa"
"Gene_001251";"lncRNA";37118;3;"205590-221006";13;"Sus scrofa"
"Gene_001252";"rRNA";42360;3;"390120-392165";4;"Sus scrofa"
"Gene_001253";"protein_coding";16063;1;"393179-434476";8;"Sus scrofa"
"Gene_001254";"protein_coding";6031;4;"555212-595831";11;"Homo sapiens"
"Gene_001255";"lncRNA";13729;2;"801839-850590";13;"Sus scrofa"
"Gene_001256";"lncRNA";19131;5;"639049-668189";7;"Homo sapiens"
"Gene_001257";"rRNA";23299;5;"611431-647640";3;"Mus musculus"
"Gene_001258";"lncRNA";40194;2;"551687-571871";18;"Bos taurus"
"Gene_001259";"tRNA";14847;4;"401942-434973";16;"Sus scrofa"
"Gene_001260";"rRNA";19232;3;"196353-203167";12;"Mus musculus"
"Gene_001261";"lncRNA";28663;5;"72524-86026";5;"Bos taurus"
"Gene_001262";"snRNA";3354;4;"888244-913534";18;"Mus musculus"
"Gene_001263";"snRNA";42925;4;"326378-327319";4;"Bos taurus"
"Gene_001264";"lncRNA";1919;2;"939901-966284";17;"Homo sapiens"
"Gene_001265";"lncRNA";7103;4;"571748-593246";8;"Mus musculus"
"Gene_001266";"protein_coding";27747;5;"233631-248593";18;"Mus musculus"
"Gene_001267";"rRNA";25328;3;"495707-500068";13;"Homo sapiens"
"Gene_001268";"snRNA";22637;3;"272099-283626";11;"Mus musculus"
"Gene_001269";"tRNA";28577;3;"585056-615395";13;"Sus scrofa"
"Gene_001270";"lncRNA";2840;1;"169498-212346";5;"Mus musculus"
"Gene_001271";"lncRNA";24765;2;"599608-629090";15;"Bos taurus"
"Gene_001272";"protein_coding";12392;1;"609580-611480";16;"Homo sapiens"
"Gene_001273";"protein_coding";27782;3;"344841-376796";3;"Homo sapiens"
"Gene_001274";"snRNA";6899;4;"797783-837471";10;"Mus musculus"
"Gene_001275";"rRNA";11578;1;"816005-836443";17;"Homo sapiens"
"Gene_001276";"protein_coding";25198;2;"506184-522102";15;"Homo sapiens"
"Gene_001277";"protein_coding";1670;2;"645941-682219";6;"Homo sapiens"
"Gene_001278";"snRNA";10404;1;"879711-916560";19;"Homo sapiens"
"Gene_001279";"snRNA";47388;4;"643936-669280";8;"Mus musculus"
"Gene_001280";"lncRNA";48838;4;"849130-879900";9;"Sus scrofa"
"Gene_001281";"rRNA";35325;5;"846640-886788";16;"Sus scrofa"
"Gene_001282";"protein_coding";34601;3;"634290-646276";1;"Mus musculus"
"Gene_001283";"rRNA";33852;1;"405882-415773";19;"Sus scrofa"
"Gene_001284";"rRNA";17345;3;"622958-663832";14;"Bos taurus"
"Gene_001285";"tRNA";45839;5;"76634-93100";14;"Bos taurus"
"Gene_001286";"rRNA";45333;3;"344771-346892";19;"Bos taurus"
"Gene_001287";"tRNA";22006;5;"965051-977987";1;"Homo sapiens"
"Gene_001288";"protein_coding";5563;5;"643701-673590";6;"Mus musculus"
"Gene_001289";"protein_coding";18044;2;"170542-208404";16;"Sus scrofa"
"Gene_001290";"lncRNA";16700;4;"608661-617115";10;"Sus scrofa"
"Gene_001291";"rRNA";14660;4;"584635-617946";16;"Bos taurus"
"Gene_001292";"lncRNA";10886;1;"774009-775401";1;"Homo sapiens"
"Gene_001293";"rRNA";29296;2;"363063-396102";6;"Bos taurus"
"Gene_001294";"tRNA";42373;2;"359178-391640";16;"Bos taurus"
"Gene_001295";"rRNA";2672;5;"544765-580668";14;"Bos taurus"
"Gene_001296";"rRNA";19055;1;"882738-910838";5;"Sus scrofa"
"Gene_001297";"lncRNA";48573;5;"793696-827491";18;"Mus musculus"
"Gene_001298";"protein_coding";32442;4;"407600-413433";13;"Homo sapiens"
"Gene_001299";"rRNA";24749;2;"671521-706837";11;"Sus scrofa"
"Gene_001300";"lncRNA";19926;5;"876341-888215";11;"Bos taurus"
"Gene_001301";"snRNA";14779;1;"704494-740911";4;"Bos taurus"
"Gene_001302";"protein_coding";30810;2;"502826-518243";7;"Homo sapiens"
"Gene_001303";"protein_coding";6360;5;"646050-664440";12;"Homo sapiens"
"Gene_001304";"snRNA";23420;3;"341004-355394";20;"Bos taurus"
"Gene_001305";"protein_coding";20224;4;"814863-851030";17;"Homo sapiens"
"Gene_001306";"lncRNA";14677;2;"868012-902139";11;"Mus musculus"
"Gene_001307";"rRNA";43756;1;"487984-509738";6;"Bos taurus"
"Gene_001308";"protein_coding";3814;1;"369736-402480";15;"Sus scrofa"
"Gene_001309";"tRNA";26503;2;"645493-678972";6;"Homo sapiens"
"Gene_001310";"protein_coding";46451;3;"710430-733731";5;"Bos taurus"
"Gene_001311";"protein_coding";33870;1;"812910-837150";6;"Bos taurus"
"Gene_001312";"protein_coding";34549;1;"281710-288687";19;"Mus musculus"
"Gene_001313";"protein_coding";31054;5;"748926-752247";12;"Bos taurus"
"Gene_001314";"protein_coding";40898;3;"36746-79920";1;"Bos taurus"
"Gene_001315";"lncRNA";8910;3;"791080-805756";3;"Mus musculus"
"Gene_001316";"tRNA";6435;3;"6011-54061";20;"Mus musculus"
"Gene_001317";"tRNA";17554;4;"899216-925369";13;"Bos taurus"
"Gene_001318";"lncRNA";46319;3;"7615-55688";2;"Bos taurus"
"Gene_001319";"lncRNA";35474;2;"459383-471536";1;"Mus musculus"
"Gene_001320";"lncRNA";8941;1;"594667-595346";15;"Homo sapiens"
"Gene_001321";"lncRNA";48838;5;"692163-737885";11;"Mus musculus"
"Gene_001322";"snRNA";38347;2;"96941-109423";5;"Sus scrofa"
"Gene_001323";"snRNA";40799;5;"131187-178665";7;"Homo sapiens"
"Gene_001324";"lncRNA";41696;5;"434653-445348";15;"Bos taurus"
"Gene_001325";"lncRNA";43494;4;"478059-513796";4;"Sus scrofa"
"Gene_001326";"snRNA";33569;4;"626964-667705";8;"Mus musculus"
"Gene_001327";"protein_coding";17219;4;"937794-984099";1;"Bos taurus"
"Gene_001328";"tRNA";35072;4;"896477-925277";4;"Sus scrofa"
"Gene_001329";"lncRNA";22153;1;"497073-514553";20;"Sus scrofa"
"Gene_001330";"protein_coding";11127;2;"279843-289288";4;"Sus scrofa"
"Gene_001331";"lncRNA";18186;2;"86389-102644";6;"Sus scrofa"
"Gene_001332";"lncRNA";27352;1;"78940-106379";10;"Homo sapiens"
"Gene_001333";"lncRNA";47216;3;"202526-220404";6;"Homo sapiens"
"Gene_001334";"tRNA";41140;2;"998622-1034873";3;"Sus scrofa"
"Gene_001335";"lncRNA";30589;3;"289940-302893";2;"Sus scrofa"
"Gene_001336";"rRNA";32700;1;"658610-677255";8;"Bos taurus"
"Gene_001337";"rRNA";16136;5;"647590-681387";18;"Sus scrofa"
"Gene_001338";"lncRNA";22390;3;"493173-541291";13;"Mus musculus"
"Gene_001339";"tRNA";31287;1;"799731-813064";18;"Bos taurus"
"Gene_001340";"lncRNA";20820;1;"329891-361234";13;"Bos taurus"
"Gene_001341";"protein_coding";9788;3;"267952-269609";10;"Sus scrofa"
"Gene_001342";"tRNA";10685;2;"693996-704381";18;"Bos taurus"
"Gene_001343";"rRNA";43705;2;"264653-270205";10;"Sus scrofa"
"Gene_001344";"snRNA";46231;1;"479962-528208";13;"Homo sapiens"
"Gene_001345";"rRNA";18821;2;"881790-888547";7;"Mus musculus"
"Gene_001346";"rRNA";33430;1;"480774-511093";2;"Homo sapiens"
"Gene_001347";"protein_coding";635;4;"428066-441368";13;"Sus scrofa"
"Gene_001348";"tRNA";7671;2;"934505-969414";7;"Sus scrofa"
"Gene_001349";"snRNA";49231;4;"227427-268941";14;"Mus musculus"
"Gene_001350";"snRNA";19112;4;"959901-972548";9;"Mus musculus"
"Gene_001351";"tRNA";40831;5;"233718-279643";13;"Mus musculus"
"Gene_001352";"snRNA";1411;3;"427917-467081";13;"Mus musculus"
"Gene_001353";"tRNA";24072;2;"530123-577851";3;"Bos taurus"
"Gene_001354";"protein_coding";29752;3;"190790-204233";15;"Sus scrofa"
"Gene_001355";"lncRNA";39694;2;"86603-127137";4;"Bos taurus"
"Gene_001356";"protein_coding";17177;4;"887835-922944";20;"Sus scrofa"
"Gene_001357";"lncRNA";9111;5;"378780-425733";8;"Bos taurus"
"Gene_001358";"lncRNA";26398;2;"258583-263740";7;"Mus musculus"
"Gene_001359";"lncRNA";49866;4;"524938-534292";5;"Mus musculus"
"Gene_001360";"lncRNA";25752;1;"828928-852275";8;"Mus musculus"
"Gene_001361";"lncRNA";36091;4;"216727-253243";1;"Sus scrofa"
"Gene_001362";"rRNA";42695;4;"251115-288739";15;"Sus scrofa"
"Gene_001363";"rRNA";803;1;"40495-59352";16;"Sus scrofa"
"Gene_001364";"tRNA";31319;3;"489573-504492";10;"Mus musculus"
"Gene_001365";"snRNA";36545;3;"110279-142399";11;"Mus musculus"
"Gene_001366";"protein_coding";33382;5;"123316-148528";11;"Bos taurus"
"Gene_001367";"tRNA";6040;1;"698831-710975";12;"Sus scrofa"
"Gene_001368";"protein_coding";48842;2;"72676-80277";12;"Mus musculus"
"Gene_001369";"tRNA";48693;3;"537128-562119";6;"Homo sapiens"
"Gene_001370";"lncRNA";2727;3;"856356-888326";6;"Mus musculus"
"Gene_001371";"lncRNA";47183;3;"870831-896243";9;"Mus musculus"
"Gene_001372";"tRNA";6964;5;"208544-243544";10;"Sus scrofa"
"Gene_001373";"protein_coding";33016;1;"258053-286291";19;"Bos taurus"
"Gene_001374";"rRNA";49332;3;"358087-388830";1;"Sus scrofa"
"Gene_001375";"lncRNA";3862;4;"668002-687936";6;"Mus musculus"
"Gene_001376";"tRNA";16238;5;"989472-1024137";20;"Homo sapiens"
"Gene_001377";"snRNA";4648;1;"765889-783747";5;"Homo sapiens"
"Gene_001378";"lncRNA";38648;2;"264632-307702";12;"Homo sapiens"
"Gene_001379";"rRNA";28803;1;"120165-169328";4;"Bos taurus"
"Gene_001380";"protein_coding";28975;4;"552507-598990";7;"Bos taurus"
"Gene_001381";"tRNA";408;5;"121039-141616";11;"Sus scrofa"
"Gene_001382";"protein_coding";3941;3;"521319-540623";7;"Homo sapiens"
"Gene_001383";"tRNA";44963;1;"89571-92657";7;"Homo sapiens"
"Gene_001384";"lncRNA";36713;2;"75103-78647";20;"Mus musculus"
"Gene_001385";"tRNA";19767;1;"45450-88913";3;"Homo sapiens"
"Gene_001386";"protein_coding";28611;4;"751580-801357";11;"Sus scrofa"
"Gene_001387";"tRNA";25493;1;"618801-622190";16;"Mus musculus"
"Gene_001388";"lncRNA";9177;3;"699138-707331";19;"Homo sapiens"
"Gene_001389";"rRNA";18780;4;"485083-506810";2;"Mus musculus"
"Gene_001390";"lncRNA";46868;1;"143948-167676";17;"Homo sapiens"
"Gene_001391";"snRNA";30979;5;"609847-641315";18;"Sus scrofa"
"Gene_001392";"tRNA";10170;5;"980357-997612";5;"Mus musculus"
"Gene_001393";"lncRNA";23110;2;"397730-446465";3;"Homo sapiens"
"Gene_001394";"lncRNA";5681;2;"530836-562084";2;"Mus musculus"
"Gene_001395";"tRNA";2376;4;"419437-457400";7;"Sus scrofa"
"Gene_001396";"rRNA";13044;3;"378116-425524";8;"Homo sapiens"
"Gene_001397";"lncRNA";2905;3;"86229-123965";11;"Sus scrofa"
"Gene_001398";"rRNA";44114;4;"286488-311047";14;"Bos taurus"
"Gene_001399";"rRNA";42803;4;"183626-184668";7;"Homo sapiens"
"Gene_001400";"lncRNA";7031;4;"623104-660526";5;"Mus musculus"
"Gene_001401";"rRNA";1214;2;"311791-355169";18;"Mus musculus"
"Gene_001402";"snRNA";29731;4;"148914-170048";14;"Bos taurus"
"Gene_001403";"lncRNA";30261;2;"385055-397972";15;"Sus scrofa"
"Gene_001404";"protein_coding";29536;5;"119713-150746";20;"Mus musculus"
"Gene_001405";"protein_coding";4399;3;"526311-531479";5;"Bos taurus"
"Gene_001406";"rRNA";44718;1;"726193-764878";14;"Bos taurus"
"Gene_001407";"tRNA";6482;2;"125664-129249";14;"Sus scrofa"
"Gene_001408";"rRNA";14421;4;"146366-177434";3;"Homo sapiens"
"Gene_001409";"tRNA";13171;4;"601470-634104";12;"Sus scrofa"
"Gene_001410";"rRNA";45635;2;"582167-624477";1;"Bos taurus"
"Gene_001411";"snRNA";49440;5;"823255-845348";18;"Homo sapiens"
"Gene_001412";"tRNA";19463;5;"835780-861263";20;"Mus musculus"
"Gene_001413";"rRNA";43419;5;"676881-712879";15;"Bos taurus"
"Gene_001414";"lncRNA";13561;2;"624085-653687";15;"Homo sapiens"
"Gene_001415";"snRNA";22933;2;"884145-904121";4;"Mus musculus"
"Gene_001416";"tRNA";2167;1;"184590-191487";11;"Bos taurus"
"Gene_001417";"tRNA";46703;4;"584435-603217";20;"Bos taurus"
"Gene_001418";"lncRNA";43062;3;"817006-828866";12;"Sus scrofa"
"Gene_001419";"tRNA";5986;4;"364115-391805";18;"Homo sapiens"
"Gene_001420";"protein_coding";13407;2;"718316-766012";6;"Sus scrofa"
"Gene_001421";"lncRNA";31666;2;"258877-281379";4;"Bos taurus"
"Gene_001422";"lncRNA";26239;5;"106642-140007";7;"Homo sapiens"
"Gene_001423";"snRNA";43798;2;"991635-997115";4;"Homo sapiens"
"Gene_001424";"protein_coding";39637;3;"305882-326731";7;"Bos taurus"
"Gene_001425";"tRNA";32061;5;"974031-992267";15;"Sus scrofa"
"Gene_001426";"protein_coding";2071;1;"539715-565862";4;"Sus scrofa"
"Gene_001427";"tRNA";25704;4;"696368-728964";17;"Mus musculus"
"Gene_001428";"protein_coding";5082;5;"107394-116554";15;"Homo sapiens"
"Gene_001429";"lncRNA";20033;3;"491117-524398";9;"Sus scrofa"
"Gene_001430";"lncRNA";907;4;"25140-47052";19;"Homo sapiens"
"Gene_001431";"tRNA";17748;3;"391284-432824";12;"Sus scrofa"
"Gene_001432";"snRNA";32974;1;"712081-749499";1;"Homo sapiens"
"Gene_001433";"snRNA";1352;1;"548246-586548";20;"Homo sapiens"
"Gene_001434";"rRNA";15617;3;"998649-1035168";19;"Bos taurus"
"Gene_001435";"lncRNA";25867;2;"213612-254388";20;"Mus musculus"
"Gene_001436";"tRNA";26875;3;"562412-612161";4;"Homo sapiens"
"Gene_001437";"rRNA";38008;3;"226563-241355";3;"Sus scrofa"
"Gene_001438";"snRNA";37972;5;"239849-242219";20;"Bos taurus"
"Gene_001439";"protein_coding";33995;4;"465254-481656";15;"Homo sapiens"
"Gene_001440";"rRNA";26419;2;"515146-541517";4;"Bos taurus"
"Gene_001441";"tRNA";19503;1;"55204-103605";4;"Homo sapiens"
"Gene_001442";"tRNA";19688;2;"734935-738595";3;"Bos taurus"
"Gene_001443";"snRNA";10260;3;"695122-739295";4;"Homo sapiens"
"Gene_001444";"lncRNA";14399;1;"883278-908378";4;"Sus scrofa"
"Gene_001445";"tRNA";48149;4;"680771-690506";17;"Sus scrofa"
"Gene_001446";"rRNA";5869;2;"685562-708189";13;"Bos taurus"
"Gene_001447";"protein_coding";25159;1;"493698-517020";4;"Sus scrofa"
"Gene_001448";"rRNA";45528;2;"191145-221995";2;"Sus scrofa"
"Gene_001449";"tRNA";23965;1;"907567-914806";13;"Homo sapiens"
"Gene_001450";"tRNA";18003;1;"816601-856731";19;"Mus musculus"
"Gene_001451";"snRNA";10492;5;"792280-792702";3;"Sus scrofa"
"Gene_001452";"protein_coding";11440;5;"720080-754306";9;"Bos taurus"
"Gene_001453";"tRNA";38826;5;"921594-948342";6;"Bos taurus"
"Gene_001454";"lncRNA";35806;5;"208313-238653";12;"Mus musculus"
"Gene_001455";"tRNA";27176;3;"499648-531849";13;"Sus scrofa"
"Gene_001456";"rRNA";9056;2;"726317-740587";18;"Homo sapiens"
"Gene_001457";"lncRNA";15811;3;"918266-967401";11;"Mus musculus"
"Gene_001458";"protein_coding";35642;1;"821634-860672";9;"Homo sapiens"
"Gene_001459";"protein_coding";16152;1;"586294-631652";1;"Mus musculus"
"Gene_001460";"lncRNA";4703;5;"834110-850663";10;"Mus musculus"
"Gene_001461";"snRNA";49590;4;"898293-930909";16;"Bos taurus"
"Gene_001462";"rRNA";435;5;"944721-977361";16;"Bos taurus"
"Gene_001463";"protein_coding";10627;5;"90438-105777";11;"Mus musculus"
"Gene_001464";"rRNA";19420;3;"842795-884010";1;"Sus scrofa"
"Gene_001465";"snRNA";18233;1;"474682-505700";20;"Bos taurus"
"Gene_001466";"snRNA";43167;1;"185440-202095";20;"Sus scrofa"
"Gene_001467";"protein_coding";22009;4;"496918-542794";4;"Mus musculus"
"Gene_001468";"tRNA";40461;1;"175966-206337";13;"Mus musculus"
"Gene_001469";"lncRNA";4752;1;"126432-155593";4;"Bos taurus"
